step,gc_collected,watched_tensor_reference_count,alive_tensor_reference_count,age0_alive_tensor_reference_count,age1_alive_tensor_reference_count,age2_alive_tensor_reference_count,old_survivor_storage_count,old_survivor_bytes,old_survivor_slot_count,same_slot_multiple_generation_count
130,False,320,8,8,0,0,0,0,0,0
131,False,352,8,8,0,0,0,0,0,0
132,False,384,8,8,0,0,0,0,0,0
133,False,416,8,8,0,0,0,0,0,0
134,False,448,8,8,0,0,0,0,0,0
135,False,480,8,8,0,0,0,0,0,0
136,False,512,8,8,0,0,0,0,0,0
137,False,544,8,8,0,0,0,0,0,0
138,False,576,8,8,0,0,0,0,0,0
139,False,608,8,8,0,0,0,0,0,0
140,False,640,8,8,0,0,0,0,0,0
141,False,672,8,8,0,0,0,0,0,0
142,False,704,8,8,0,0,0,0,0,0
143,False,736,8,8,0,0,0,0,0,0
144,False,768,8,8,0,0,0,0,0,0
145,False,800,8,8,0,0,0,0,0,0
146,False,832,8,8,0,0,0,0,0,0
147,False,864,8,8,0,0,0,0,0,0
148,False,896,8,8,0,0,0,0,0,0
149,False,928,8,8,0,0,0,0,0,0
150,False,960,8,8,0,0,0,0,0,0
150,True,960,8,8,0,0,0,0,0,0
151,False,192,8,8,0,0,0,0,0,0
152,False,224,8,8,0,0,0,0,0,0
153,False,256,8,8,0,0,0,0,0,0
154,False,288,8,8,0,0,0,0,0,0
155,False,320,8,8,0,0,0,0,0,0
156,False,352,8,8,0,0,0,0,0,0
157,False,384,8,8,0,0,0,0,0,0
158,False,416,8,8,0,0,0,0,0,0
159,False,448,8,8,0,0,0,0,0,0
160,False,480,8,8,0,0,0,0,0,0
161,False,512,8,8,0,0,0,0,0,0
162,False,544,8,8,0,0,0,0,0,0
163,False,576,8,8,0,0,0,0,0,0
164,False,608,8,8,0,0,0,0,0,0
165,False,640,8,8,0,0,0,0,0,0
166,False,672,8,8,0,0,0,0,0,0
167,False,704,8,8,0,0,0,0,0,0
168,False,736,8,8,0,0,0,0,0,0
169,False,768,8,8,0,0,0,0,0,0
170,False,800,8,8,0,0,0,0,0,0
171,False,832,8,8,0,0,0,0,0,0
172,False,864,8,8,0,0,0,0,0,0
173,False,896,8,8,0,0,0,0,0,0
174,False,928,8,8,0,0,0,0,0,0
175,False,960,8,8,0,0,0,0,0,0
175,True,960,8,8,0,0,0,0,0,0
176,False,192,8,8,0,0,0,0,0,0
177,False,224,8,8,0,0,0,0,0,0
178,False,256,8,8,0,0,0,0,0,0
179,False,288,8,8,0,0,0,0,0,0
180,False,320,8,8,0,0,0,0,0,0
181,False,352,8,8,0,0,0,0,0,0
182,False,384,8,8,0,0,0,0,0,0
183,False,416,8,8,0,0,0,0,0,0
184,False,448,8,8,0,0,0,0,0,0
185,False,480,8,8,0,0,0,0,0,0
186,False,512,8,8,0,0,0,0,0,0
187,False,544,8,8,0,0,0,0,0,0
188,False,576,8,8,0,0,0,0,0,0
189,False,608,8,8,0,0,0,0,0,0
190,False,640,8,8,0,0,0,0,0,0
191,False,672,8,8,0,0,0,0,0,0
192,False,704,8,8,0,0,0,0,0,0
193,False,736,8,8,0,0,0,0,0,0
194,False,768,8,8,0,0,0,0,0,0
195,False,800,8,8,0,0,0,0,0,0
196,False,832,8,8,0,0,0,0,0,0
197,False,864,8,8,0,0,0,0,0,0
198,False,896,8,8,0,0,0,0,0,0
199,False,928,8,8,0,0,0,0,0,0
200,False,960,8,8,0,0,0,0,0,0
200,True,960,8,8,0,0,0,0,0,0
201,False,192,8,8,0,0,0,0,0,0
202,False,224,8,8,0,0,0,0,0,0
203,False,256,8,8,0,0,0,0,0,0
204,False,288,8,8,0,0,0,0,0,0
205,False,320,8,8,0,0,0,0,0,0
206,False,352,8,8,0,0,0,0,0,0
207,False,384,8,8,0,0,0,0,0,0
208,False,416,8,8,0,0,0,0,0,0
209,False,448,8,8,0,0,0,0,0,0
210,False,480,8,8,0,0,0,0,0,0
211,False,512,8,8,0,0,0,0,0,0
212,False,544,8,8,0,0,0,0,0,0
213,False,576,8,8,0,0,0,0,0,0
214,False,608,8,8,0,0,0,0,0,0
215,False,640,8,8,0,0,0,0,0,0
216,False,672,8,8,0,0,0,0,0,0
217,False,704,8,8,0,0,0,0,0,0
218,False,736,8,8,0,0,0,0,0,0
219,False,768,8,8,0,0,0,0,0,0
220,False,800,8,8,0,0,0,0,0,0
221,False,832,8,8,0,0,0,0,0,0
222,False,864,8,8,0,0,0,0,0,0
223,False,896,8,8,0,0,0,0,0,0
224,False,928,8,8,0,0,0,0,0,0
225,False,960,8,8,0,0,0,0,0,0
225,True,960,8,8,0,0,0,0,0,0
226,False,192,8,8,0,0,0,0,0,0
227,False,224,8,8,0,0,0,0,0,0
228,False,256,8,8,0,0,0,0,0,0
229,False,288,8,8,0,0,0,0,0,0
230,False,320,8,8,0,0,0,0,0,0
231,False,352,8,8,0,0,0,0,0,0
232,False,384,8,8,0,0,0,0,0,0
233,False,416,8,8,0,0,0,0,0,0
234,False,448,8,8,0,0,0,0,0,0
235,False,480,8,8,0,0,0,0,0,0
236,False,512,8,8,0,0,0,0,0,0
237,False,544,8,8,0,0,0,0,0,0
238,False,576,8,8,0,0,0,0,0,0
239,False,608,8,8,0,0,0,0,0,0
240,False,640,8,8,0,0,0,0,0,0
241,False,672,8,8,0,0,0,0,0,0
242,False,704,8,8,0,0,0,0,0,0
243,False,736,8,8,0,0,0,0,0,0
244,False,768,8,8,0,0,0,0,0,0
245,False,800,8,8,0,0,0,0,0,0
246,False,832,8,8,0,0,0,0,0,0
247,False,864,8,8,0,0,0,0,0,0
248,False,896,8,8,0,0,0,0,0,0
249,False,928,8,8,0,0,0,0,0,0
250,False,960,8,8,0,0,0,0,0,0
250,True,960,8,8,0,0,0,0,0,0
251,False,192,8,8,0,0,0,0,0,0
252,False,224,8,8,0,0,0,0,0,0
253,False,256,8,8,0,0,0,0,0,0
254,False,288,8,8,0,0,0,0,0,0
255,False,320,8,8,0,0,0,0,0,0
256,False,352,8,8,0,0,0,0,0,0
257,False,384,8,8,0,0,0,0,0,0
258,False,416,8,8,0,0,0,0,0,0
259,False,448,8,8,0,0,0,0,0,0
260,False,480,8,8,0,0,0,0,0,0
261,False,512,8,8,0,0,0,0,0,0
262,False,544,8,8,0,0,0,0,0,0
263,False,576,8,8,0,0,0,0,0,0
264,False,608,8,8,0,0,0,0,0,0
265,False,640,8,8,0,0,0,0,0,0
266,False,672,8,8,0,0,0,0,0,0
267,False,704,8,8,0,0,0,0,0,0
268,False,736,8,8,0,0,0,0,0,0
269,False,768,8,8,0,0,0,0,0,0
270,False,800,8,8,0,0,0,0,0,0
271,False,832,8,8,0,0,0,0,0,0
272,False,864,8,8,0,0,0,0,0,0
273,False,896,8,8,0,0,0,0,0,0
274,False,928,8,8,0,0,0,0,0,0
275,False,960,8,8,0,0,0,0,0,0
275,True,960,8,8,0,0,0,0,0,0
276,False,192,8,8,0,0,0,0,0,0
277,False,224,8,8,0,0,0,0,0,0
278,False,256,8,8,0,0,0,0,0,0
279,False,288,8,8,0,0,0,0,0,0
280,False,320,8,8,0,0,0,0,0,0
281,False,352,8,8,0,0,0,0,0,0
282,False,384,8,8,0,0,0,0,0,0
283,False,416,8,8,0,0,0,0,0,0
284,False,448,8,8,0,0,0,0,0,0
285,False,480,8,8,0,0,0,0,0,0
286,False,512,8,8,0,0,0,0,0,0
287,False,544,8,8,0,0,0,0,0,0
288,False,576,8,8,0,0,0,0,0,0
289,False,608,8,8,0,0,0,0,0,0
290,False,640,8,8,0,0,0,0,0,0
291,False,672,8,8,0,0,0,0,0,0
292,False,704,8,8,0,0,0,0,0,0
293,False,736,8,8,0,0,0,0,0,0
294,False,768,8,8,0,0,0,0,0,0
295,False,800,8,8,0,0,0,0,0,0
296,False,832,8,8,0,0,0,0,0,0
297,False,864,8,8,0,0,0,0,0,0
298,False,896,8,8,0,0,0,0,0,0
299,False,928,8,8,0,0,0,0,0,0
300,False,960,8,8,0,0,0,0,0,0
300,True,960,8,8,0,0,0,0,0,0
301,False,192,8,8,0,0,0,0,0,0
302,False,224,8,8,0,0,0,0,0,0
303,False,256,8,8,0,0,0,0,0,0
304,False,288,8,8,0,0,0,0,0,0
305,False,320,8,8,0,0,0,0,0,0
306,False,352,8,8,0,0,0,0,0,0
307,False,384,8,8,0,0,0,0,0,0
308,False,416,8,8,0,0,0,0,0,0
309,False,448,8,8,0,0,0,0,0,0
310,False,480,8,8,0,0,0,0,0,0
311,False,512,8,8,0,0,0,0,0,0
312,False,544,8,8,0,0,0,0,0,0
313,False,576,8,8,0,0,0,0,0,0
314,False,608,8,8,0,0,0,0,0,0
315,False,640,8,8,0,0,0,0,0,0
316,False,672,8,8,0,0,0,0,0,0
317,False,704,8,8,0,0,0,0,0,0
318,False,736,8,8,0,0,0,0,0,0
319,False,768,8,8,0,0,0,0,0,0
320,False,800,8,8,0,0,0,0,0,0
321,False,832,8,8,0,0,0,0,0,0
322,False,864,8,8,0,0,0,0,0,0
323,False,896,8,8,0,0,0,0,0,0
324,False,928,8,8,0,0,0,0,0,0
325,False,960,8,8,0,0,0,0,0,0
325,True,960,8,8,0,0,0,0,0,0
326,False,192,8,8,0,0,0,0,0,0
327,False,224,8,8,0,0,0,0,0,0
328,False,256,8,8,0,0,0,0,0,0
329,False,288,8,8,0,0,0,0,0,0
330,False,320,8,8,0,0,0,0,0,0
331,False,352,8,8,0,0,0,0,0,0
332,False,384,8,8,0,0,0,0,0,0
333,False,416,8,8,0,0,0,0,0,0
334,False,448,8,8,0,0,0,0,0,0
335,False,480,8,8,0,0,0,0,0,0
336,False,512,8,8,0,0,0,0,0,0
337,False,544,8,8,0,0,0,0,0,0
338,False,576,8,8,0,0,0,0,0,0
339,False,608,8,8,0,0,0,0,0,0
340,False,640,8,8,0,0,0,0,0,0
341,False,672,8,8,0,0,0,0,0,0
342,False,704,8,8,0,0,0,0,0,0
343,False,736,8,8,0,0,0,0,0,0
344,False,768,8,8,0,0,0,0,0,0
345,False,800,8,8,0,0,0,0,0,0
346,False,832,8,8,0,0,0,0,0,0
347,False,864,8,8,0,0,0,0,0,0
348,False,896,8,8,0,0,0,0,0,0
349,False,928,8,8,0,0,0,0,0,0
350,False,960,8,8,0,0,0,0,0,0
350,True,960,8,8,0,0,0,0,0,0
351,False,192,8,8,0,0,0,0,0,0
352,False,224,8,8,0,0,0,0,0,0
353,False,256,8,8,0,0,0,0,0,0
354,False,288,8,8,0,0,0,0,0,0
355,False,320,8,8,0,0,0,0,0,0
356,False,352,8,8,0,0,0,0,0,0
357,False,384,8,8,0,0,0,0,0,0
358,False,416,8,8,0,0,0,0,0,0
359,False,448,8,8,0,0,0,0,0,0
360,False,480,8,8,0,0,0,0,0,0
361,False,512,8,8,0,0,0,0,0,0
362,False,544,8,8,0,0,0,0,0,0
363,False,576,8,8,0,0,0,0,0,0
364,False,608,8,8,0,0,0,0,0,0
365,False,640,8,8,0,0,0,0,0,0
366,False,672,8,8,0,0,0,0,0,0
367,False,704,8,8,0,0,0,0,0,0
368,False,736,8,8,0,0,0,0,0,0
369,False,768,8,8,0,0,0,0,0,0
370,False,800,8,8,0,0,0,0,0,0
371,False,832,8,8,0,0,0,0,0,0
372,False,864,8,8,0,0,0,0,0,0
373,False,896,8,8,0,0,0,0,0,0
374,False,928,8,8,0,0,0,0,0,0
375,False,960,8,8,0,0,0,0,0,0
375,True,960,8,8,0,0,0,0,0,0
376,False,192,8,8,0,0,0,0,0,0
377,False,224,8,8,0,0,0,0,0,0
378,False,256,8,8,0,0,0,0,0,0
379,False,288,8,8,0,0,0,0,0,0
380,False,320,8,8,0,0,0,0,0,0
381,False,352,8,8,0,0,0,0,0,0
382,False,384,8,8,0,0,0,0,0,0
383,False,416,8,8,0,0,0,0,0,0
384,False,448,8,8,0,0,0,0,0,0
385,False,480,8,8,0,0,0,0,0,0
386,False,512,8,8,0,0,0,0,0,0
387,False,544,8,8,0,0,0,0,0,0
388,False,576,8,8,0,0,0,0,0,0
389,False,608,8,8,0,0,0,0,0,0
390,False,640,8,8,0,0,0,0,0,0
391,False,672,8,8,0,0,0,0,0,0
392,False,704,8,8,0,0,0,0,0,0
393,False,736,8,8,0,0,0,0,0,0
394,False,768,8,8,0,0,0,0,0,0
395,False,800,8,8,0,0,0,0,0,0
396,False,832,8,8,0,0,0,0,0,0
397,False,864,8,8,0,0,0,0,0,0
398,False,896,8,8,0,0,0,0,0,0
399,False,928,8,8,0,0,0,0,0,0
400,False,960,8,8,0,0,0,0,0,0
400,True,960,8,8,0,0,0,0,0,0
401,False,192,8,8,0,0,0,0,0,0
402,False,224,8,8,0,0,0,0,0,0
403,False,256,8,8,0,0,0,0,0,0
404,False,288,8,8,0,0,0,0,0,0
405,False,320,8,8,0,0,0,0,0,0
406,False,352,8,8,0,0,0,0,0,0
407,False,384,8,8,0,0,0,0,0,0
408,False,416,8,8,0,0,0,0,0,0
409,False,448,8,8,0,0,0,0,0,0
410,False,480,8,8,0,0,0,0,0,0
411,False,512,8,8,0,0,0,0,0,0
412,False,544,8,8,0,0,0,0,0,0
413,False,576,8,8,0,0,0,0,0,0
414,False,608,8,8,0,0,0,0,0,0
415,False,640,8,8,0,0,0,0,0,0
416,False,672,8,8,0,0,0,0,0,0
417,False,704,8,8,0,0,0,0,0,0
418,False,736,8,8,0,0,0,0,0,0
419,False,768,8,8,0,0,0,0,0,0
420,False,800,8,8,0,0,0,0,0,0
421,False,832,8,8,0,0,0,0,0,0
422,False,864,8,8,0,0,0,0,0,0
423,False,896,8,8,0,0,0,0,0,0
424,False,928,8,8,0,0,0,0,0,0
425,False,960,8,8,0,0,0,0,0,0
425,True,960,8,8,0,0,0,0,0,0
426,False,192,8,8,0,0,0,0,0,0
427,False,224,8,8,0,0,0,0,0,0
428,False,256,8,8,0,0,0,0,0,0
429,False,288,8,8,0,0,0,0,0,0
430,False,320,8,8,0,0,0,0,0,0
431,False,352,8,8,0,0,0,0,0,0
432,False,384,8,8,0,0,0,0,0,0
433,False,416,8,8,0,0,0,0,0,0
434,False,448,8,8,0,0,0,0,0,0
435,False,480,8,8,0,0,0,0,0,0
436,False,512,8,8,0,0,0,0,0,0
437,False,544,8,8,0,0,0,0,0,0
438,False,576,8,8,0,0,0,0,0,0
439,False,608,8,8,0,0,0,0,0,0
440,False,640,8,8,0,0,0,0,0,0
441,False,672,8,8,0,0,0,0,0,0
442,False,704,8,8,0,0,0,0,0,0
443,False,736,8,8,0,0,0,0,0,0
444,False,768,8,8,0,0,0,0,0,0
445,False,800,8,8,0,0,0,0,0,0
446,False,832,8,8,0,0,0,0,0,0
447,False,864,8,8,0,0,0,0,0,0
448,False,896,8,8,0,0,0,0,0,0
449,False,928,8,8,0,0,0,0,0,0
450,False,960,8,8,0,0,0,0,0,0
450,True,960,8,8,0,0,0,0,0,0
451,False,192,8,8,0,0,0,0,0,0
452,False,224,8,8,0,0,0,0,0,0
453,False,256,8,8,0,0,0,0,0,0
454,False,288,8,8,0,0,0,0,0,0
455,False,320,8,8,0,0,0,0,0,0
456,False,352,8,8,0,0,0,0,0,0
457,False,384,8,8,0,0,0,0,0,0
458,False,416,8,8,0,0,0,0,0,0
459,False,448,8,8,0,0,0,0,0,0
460,False,480,8,8,0,0,0,0,0,0
461,False,512,8,8,0,0,0,0,0,0
462,False,544,8,8,0,0,0,0,0,0
463,False,576,8,8,0,0,0,0,0,0
464,False,608,8,8,0,0,0,0,0,0
465,False,640,8,8,0,0,0,0,0,0
466,False,672,8,8,0,0,0,0,0,0
467,False,704,8,8,0,0,0,0,0,0
468,False,736,8,8,0,0,0,0,0,0
469,False,768,8,8,0,0,0,0,0,0
470,False,800,8,8,0,0,0,0,0,0
471,False,832,8,8,0,0,0,0,0,0
472,False,864,8,8,0,0,0,0,0,0
473,False,896,8,8,0,0,0,0,0,0
474,False,928,8,8,0,0,0,0,0,0
475,False,960,8,8,0,0,0,0,0,0
475,True,960,8,8,0,0,0,0,0,0
476,False,192,8,8,0,0,0,0,0,0
477,False,224,8,8,0,0,0,0,0,0
478,False,256,8,8,0,0,0,0,0,0
479,False,288,8,8,0,0,0,0,0,0
480,False,320,8,8,0,0,0,0,0,0
481,False,352,8,8,0,0,0,0,0,0
482,False,384,8,8,0,0,0,0,0,0
483,False,416,8,8,0,0,0,0,0,0
484,False,448,8,8,0,0,0,0,0,0
485,False,480,8,8,0,0,0,0,0,0
486,False,512,8,8,0,0,0,0,0,0
487,False,544,8,8,0,0,0,0,0,0
488,False,576,8,8,0,0,0,0,0,0
489,False,608,8,8,0,0,0,0,0,0
490,False,640,8,8,0,0,0,0,0,0
491,False,672,8,8,0,0,0,0,0,0
492,False,704,8,8,0,0,0,0,0,0
493,False,736,8,8,0,0,0,0,0,0
494,False,768,8,8,0,0,0,0,0,0
495,False,800,8,8,0,0,0,0,0,0
496,False,832,8,8,0,0,0,0,0,0
497,False,864,8,8,0,0,0,0,0,0
498,False,896,8,8,0,0,0,0,0,0
499,False,928,8,8,0,0,0,0,0,0
500,False,960,8,8,0,0,0,0,0,0
500,True,960,8,8,0,0,0,0,0,0
501,False,192,8,8,0,0,0,0,0,0
502,False,224,8,8,0,0,0,0,0,0
503,False,256,8,8,0,0,0,0,0,0
504,False,288,8,8,0,0,0,0,0,0
505,False,320,8,8,0,0,0,0,0,0
506,False,352,8,8,0,0,0,0,0,0
507,False,384,8,8,0,0,0,0,0,0
508,False,416,8,8,0,0,0,0,0,0
509,False,448,8,8,0,0,0,0,0,0
510,False,480,8,8,0,0,0,0,0,0
511,False,512,8,8,0,0,0,0,0,0
512,False,544,8,8,0,0,0,0,0,0
513,False,576,8,8,0,0,0,0,0,0
514,False,608,8,8,0,0,0,0,0,0
515,False,640,8,8,0,0,0,0,0,0
516,False,672,8,8,0,0,0,0,0,0
517,False,704,8,8,0,0,0,0,0,0
518,False,736,8,8,0,0,0,0,0,0
519,False,768,8,8,0,0,0,0,0,0
520,False,800,8,8,0,0,0,0,0,0
521,False,832,8,8,0,0,0,0,0,0
522,False,864,8,8,0,0,0,0,0,0
523,False,896,8,8,0,0,0,0,0,0
524,False,928,8,8,0,0,0,0,0,0
525,False,960,8,8,0,0,0,0,0,0
525,True,960,8,8,0,0,0,0,0,0
526,False,192,8,8,0,0,0,0,0,0
527,False,224,8,8,0,0,0,0,0,0
528,False,256,8,8,0,0,0,0,0,0
529,False,288,8,8,0,0,0,0,0,0
530,False,320,8,8,0,0,0,0,0,0
531,False,352,8,8,0,0,0,0,0,0
532,False,384,8,8,0,0,0,0,0,0
533,False,416,8,8,0,0,0,0,0,0
534,False,448,8,8,0,0,0,0,0,0
535,False,480,8,8,0,0,0,0,0,0
536,False,512,8,8,0,0,0,0,0,0
537,False,544,8,8,0,0,0,0,0,0
538,False,576,8,8,0,0,0,0,0,0
539,False,608,8,8,0,0,0,0,0,0
540,False,640,8,8,0,0,0,0,0,0
541,False,672,8,8,0,0,0,0,0,0
542,False,704,8,8,0,0,0,0,0,0
543,False,736,8,8,0,0,0,0,0,0
544,False,768,8,8,0,0,0,0,0,0
545,False,800,8,8,0,0,0,0,0,0
546,False,832,8,8,0,0,0,0,0,0
547,False,864,8,8,0,0,0,0,0,0
548,False,896,8,8,0,0,0,0,0,0
549,False,928,8,8,0,0,0,0,0,0
550,False,960,8,8,0,0,0,0,0,0
550,True,960,8,8,0,0,0,0,0,0
551,False,192,8,8,0,0,0,0,0,0
552,False,224,8,8,0,0,0,0,0,0
553,False,256,8,8,0,0,0,0,0,0
554,False,288,8,8,0,0,0,0,0,0
555,False,320,8,8,0,0,0,0,0,0
556,False,352,8,8,0,0,0,0,0,0
557,False,384,8,8,0,0,0,0,0,0
558,False,416,8,8,0,0,0,0,0,0
559,False,448,8,8,0,0,0,0,0,0
560,False,480,8,8,0,0,0,0,0,0
561,False,512,8,8,0,0,0,0,0,0
562,False,544,8,8,0,0,0,0,0,0
563,False,576,8,8,0,0,0,0,0,0
564,False,608,8,8,0,0,0,0,0,0
565,False,640,8,8,0,0,0,0,0,0
566,False,672,8,8,0,0,0,0,0,0
567,False,704,8,8,0,0,0,0,0,0
568,False,736,8,8,0,0,0,0,0,0
569,False,768,8,8,0,0,0,0,0,0
570,False,800,8,8,0,0,0,0,0,0
571,False,832,8,8,0,0,0,0,0,0
572,False,864,8,8,0,0,0,0,0,0
573,False,896,8,8,0,0,0,0,0,0
574,False,928,8,8,0,0,0,0,0,0
575,False,960,8,8,0,0,0,0,0,0
575,True,960,8,8,0,0,0,0,0,0
576,False,192,8,8,0,0,0,0,0,0
577,False,224,8,8,0,0,0,0,0,0
578,False,256,8,8,0,0,0,0,0,0
579,False,288,8,8,0,0,0,0,0,0
580,False,320,8,8,0,0,0,0,0,0
581,False,352,8,8,0,0,0,0,0,0
582,False,384,8,8,0,0,0,0,0,0
583,False,416,8,8,0,0,0,0,0,0
584,False,448,8,8,0,0,0,0,0,0
585,False,480,8,8,0,0,0,0,0,0
586,False,512,8,8,0,0,0,0,0,0
587,False,544,8,8,0,0,0,0,0,0
588,False,576,8,8,0,0,0,0,0,0
589,False,608,8,8,0,0,0,0,0,0
590,False,640,8,8,0,0,0,0,0,0
591,False,672,8,8,0,0,0,0,0,0
592,False,704,8,8,0,0,0,0,0,0
593,False,736,8,8,0,0,0,0,0,0
594,False,768,8,8,0,0,0,0,0,0
595,False,800,8,8,0,0,0,0,0,0
596,False,832,8,8,0,0,0,0,0,0
597,False,864,8,8,0,0,0,0,0,0
